log2_circle_size_cx_opt,width_cx_opt,cx_cx_opt,time_cx_opt,,,,log2_circle_size_width_opt,width_width_opt,cx_width_opt,time_width_opt
5,8,120,1.030050755,,,,5,6,274,1.033107281
6,9,152,1.549682856,,,,6,7,514,1.756486177
7,11,200,2.408565044,,,,7,8,850,3.424333096
8,12,260,3.318053246,,,,8,9,1298,7.059669018
9,14,352,4.49042511,,,,9,10,1874,14.62335777
10,15,436,6.236928225,,,,10,11,2594,30.57669568
11,17,552,8.21525979,,,,11,13,3194,38.52312279
12,18,632,10.4258492,,,,12,14,3914,121.3552897
13,20,776,12.93056488,,,,13,15,5066,132.0802917
14,21,836,16.34218383,,,,14,16,6378,138.0895779
15,23,1004,19.96978807,,,,15,17,7850,144.433075
16,24,1064,24.08605409,,,,16,18,9482,152.0853841
17,26,1256,28.71955085,,,,17,19,11274,156.839324
18,27,1312,33.7100358,,,,18,20,13418,167.8838196
20,30,1588,45.90775609,,,,20,22,18762,191.7707002
24,36,2564,81.53534484,,,,24,26,33674,277.2610381
28,42,3668,136.5639482,,,,28,30,54026,390.1246259
30,45,4324,167.5976551,,,,30,32,66122,426.9000242
35,53,6088,298.3051138,,,,33,35,86666,498.2558219
40,60,7704,475.1393759,,,,40,42,156554,819.1415811
45,68,9984,715.2307372,,,,45,47,227594,1239.267411
50,75,12092,1111.412863,,,,50,52,316170,1803.668634
60,90,17148,1932.942601,,,,60,62,542090,3107.010131
